Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
3.1,,,207983513,88416883,Pelophylax lessonae
3.3,,,207983513,88416883,Pelophylax lessonae
3.4,,,207983513,88416883,Pelophylax lessonae
1.2,,,227223836,114139495,Pelodytes atlanticus
1.3,,,227223836,114139495,Pelodytes atlanticus
1.5,,,227226945,58692,Pelophylax perezi
1.1,,,227229041,18377,Proteus anguinus
3.1,,,227229860,58622,Rana iberica
1.5,,,227229860,58622,Rana iberica
1.2,,,227232549,173103952,Rana parvipalmata
3.1,,,227233345,19183,Rana pyrenaica
1.2,,,227233345,19183,Rana pyrenaica
1.5,,,227233345,19183,Rana pyrenaica
3.1,,,227237457,22216,Triturus dobrogicus
3.1,,,227237916,88104000,Triturus macedonicus
3.4,,,227237916,88104000,Triturus macedonicus
1.2,,,227237916,88104000,Triturus macedonicus
1.3,,,227237916,88104000,Triturus macedonicus
3.1,,,227238403,59479,Triturus pygmaeus
1.5,,,227238403,59479,Triturus pygmaeus
3.1,,,228179002,178592041,Alytes almogavarii
1.2,,,228179002,178592041,Alytes almogavarii
3.1,,,228179645,178591974,Alytes obstetricans
1.2,,,228179645,178591974,Alytes obstetricans
1.5,,,228179645,178591974,Alytes obstetricans
3.1,,,228179967,77970289,Bombina variegata
1.2,,,228179967,77970289,Bombina variegata
1.4,,,228179967,77970289,Bombina variegata
3.1,,,228180876,172962880,Bufotes cypriensis
3.4,,,228180876,172962880,Bufotes cypriensis
1.2,,,228180876,172962880,Bufotes cypriensis
1.3,,,228180876,172962880,Bufotes cypriensis
1.5,,,228180876,172962880,Bufotes cypriensis
3.1,,,228181133,4657,Chioglossa lusitanica
1.1,,,228182338,82496838,Hyla arborea
1.5,,,228183943,59472,Ichthyosaura alpestris
1.2,,,228184459,79079411,Lissotriton boscai
1.5,,,228184459,79079411,Lissotriton boscai
3.1,,,228184805,79077482,Lissotriton graecus
3.1,,,228187495,58052,Pelobates cultripes
3.1,,,229005415,58605,Rana graeca
1.1,,,229006372,79078647,Lissotriton vulgaris
1.2,,,89696462,136131,Calotriton arnoldi
3.1,,,89696462,136131,Calotriton arnoldi
1.3,,,89696462,136131,Calotriton arnoldi
3.1,,,89699123,19845,Salamandra lanzai
3.1,,,89706481,136135,Salamandrina perspicillata
3.1,,,219148292,59467,Salamandra salamandra
1.2,,,219148292,59467,Salamandra salamandra
1.5,,,219148292,59467,Salamandra salamandra
2.1,,,219148292,59467,Salamandra salamandra
3.1,,,219150517,59477,Triturus marmoratus
1.5,,,219150517,59477,Triturus marmoratus
3.1,,,264468745,214696589,Triturus carnifex
3.1,,,265122877,59405,Speleomantes strinatii
1.1,,,265122877,59405,Speleomantes strinatii
1.2,,,265122877,59405,Speleomantes strinatii
3.1,,,265124975,20458,Speleomantes italicus
1.5,,,265124975,20458,Speleomantes italicus
3.1,,,265126221,20454,Speleomantes ambrosii
1.5,,,265126221,20454,Speleomantes ambrosii
