Research.ResearchSubfield.ResearchLookup,Research.ResearchSubfield.ResearchName,Research.ResearchSubfield.note,assessment_id,internal_taxon_id,internal_taxon_name
3.1,,"",67694324,41241,Lyciasalamandra luschani
1.2,,"",67694324,41241,Lyciasalamandra luschani
1.1,,"",67694324,41241,Lyciasalamandra luschani
1.3,,,67862807,2865,Bombina bombina
1.4,,,67862807,2865,Bombina bombina
1.5,,,67862807,2865,Bombina bombina
1.2,,,67862807,2865,Bombina bombina
1.6,,,67862807,2865,Bombina bombina
3.1,,,67862807,2865,Bombina bombina
3.1,,,200183152,22212,Triturus cristatus
1.2,,,200183152,22212,Triturus cristatus
1.3,,,200183152,22212,Triturus cristatus
1.4,,,200183152,22212,Triturus cristatus
1.5,,,200183152,22212,Triturus cristatus
1.6,,,200183152,22212,Triturus cristatus
4,,Migrated from 3 Research Actions->3.7 Cultural relevance,200183152,22212,Triturus cristatus
3.1,,"",200187939,55270,Discoglossus pictus
1.5,,"",200187939,55270,Discoglossus pictus
3.1,,"",200188858,88316072,Bufo bufo
1.2,,"",200188858,88316072,Bufo bufo
1.5,,"",200188858,88316072,Bufo bufo
1.1,,"",200190036,88316046,Bufo spinosus
1.5,,"",200190036,88316046,Bufo spinosus
1.1,,"",200191612,182525327,Bufotes boulengeri
3.1,,,200192160,182530066,Bufotes viridis
1.1,,,200192160,182530066,Bufotes viridis
1.2,,,200192160,182530066,Bufotes viridis
1.5,,,200192160,182530066,Bufotes viridis
1.2,,"",200196698,173109790,Hyla meridionalis
1.5,,"",200196698,173109790,Hyla meridionalis
1.1,,,200682549,58893474,Pelophylax bedriagae
1.2,,,200682549,58893474,Pelophylax bedriagae
3.1,,,200716374,58705,Pelophylax ridibundus
1.1,,,200716374,58705,Pelophylax ridibundus
1.2,,,200716374,58705,Pelophylax ridibundus
1.3,,,200716374,58705,Pelophylax ridibundus
1.4,,,200716374,58705,Pelophylax ridibundus
1.2,,"",200717357,58707,Pelophylax saharicus
3.1,,"",200717774,58548,Rana arvalis
1.1,,"",200717774,58548,Rana arvalis
1.2,,"",200717774,58548,Rana arvalis
1.5,,Monitoring of populations for the presence and effects of Bd infection or other emerging pathogens need to be organised throughout its range,200717774,58548,Rana arvalis
1.6,,"",200717774,58548,Rana arvalis
3.1,,,200718410,58584,Rana dalmatina
1.2,,,200718410,58584,Rana dalmatina
1.3,,,200718410,58584,Rana dalmatina
1.4,,,200718410,58584,Rana dalmatina
1.5,,,200718410,58584,Rana dalmatina
1.6,,,200718410,58584,Rana dalmatina
1.2,,"",200721782,173101508,Rana temporaria
1.3,,"",200721782,173101508,Rana temporaria
1.5,,"",200721782,173101508,Rana temporaria
3.1,,"",200741141,59463,Pleurodeles waltl
1.2,,"",200741141,59463,Pleurodeles waltl
1.3,,"",200741141,59463,Pleurodeles waltl
1.5,,"",200741141,59463,Pleurodeles waltl
1.6,,"",200741141,59463,Pleurodeles waltl
1.2,,,200741882,59464,Salamandra algira
1.3,,,200741882,59464,Salamandra algira
1.5,,,200741882,59464,Salamandra algira
1.6,,,200741882,59464,Salamandra algira
3.1,,,200746759,211146190,Triturus karelinii
1.1,,,200746759,211146190,Triturus karelinii
1.2,,,200746759,211146190,Triturus karelinii
1.3,,,200746759,211146190,Triturus karelinii
1.4,,,200746759,211146190,Triturus karelinii
1.5,,,200746759,211146190,Triturus karelinii
1.6,,,200746759,211146190,Triturus karelinii
4,,Migrated from 3 Research Actions->3.7 Cultural relevance,200746759,211146190,Triturus karelinii
3.1,,,202016456,54703,Sclerophrys mauritanica
1.1,,,202016456,54703,Sclerophrys mauritanica
1.2,,,202016456,54703,Sclerophrys mauritanica
1.3,,,202016456,54703,Sclerophrys mauritanica
1.5,,,202016456,54703,Sclerophrys mauritanica
1.6,,,202016456,54703,Sclerophrys mauritanica
1.2,,"",202020399,196236041,Pelobates vespertinus
1.5,,"",202020399,196236041,Pelobates vespertinus
1.1,,"",202022250,110466172,Xenopus laevis
1.2,,,202022987,58565,Aquarana catesbeianus
1.2,,"",202049049,136687833,Salamandrella keyserlingii
1.1,,"",202052085,82494309,Hyla orientalis
1.2,,"",202052085,82494309,Hyla orientalis
1.3,,"",202052085,82494309,Hyla orientalis
1.5,,"",202052085,82494309,Hyla orientalis
1.1,,"",202052715,78928690,Hyla savignyi
1.2,,"",202052715,78928690,Hyla savignyi
1.5,,"",207984541,58054,Pelobates varaldii
1.2,,"",207984541,58054,Pelobates varaldii
1.3,,"",207984541,58054,Pelobates varaldii
1.2,,"",211757998,211757868,Lissotriton schmidtleri
1.3,,"",211757998,211757868,Lissotriton schmidtleri
1.5,,"",211757998,211757868,Lissotriton schmidtleri
1.2,,"",223143581,172313717,Pelobates syriacus
1.1,,"",223143581,172313717,Pelobates syriacus
